Manufacturer,Country,Doses
Sinovac,Thailand,18100000
Sinovac,Chile,60000000
Sinovac,Morocco,0
Sinovac,Egypt,40000000
Sinovac,Rest,457570000
Sinovac,Latam (w/o Brazil),0
Sinovac,Philippines,25000000
Sinovac,Australia,0
Sinovac,South Korea,0
Sinovac,Mexico,20000000
Sinovac,Turkey,100000000
Sinovac,Indonesia,125500000
Sinovac,African Union,0
Sinovac,Japan,0
Sinovac,Canada,0
Sinovac,India,0
Sinovac,China,340000000
Sinovac,Brazil,100000000
Sinovac,UK,0
Sinovac,USA,0
Sinovac,COVAX,0
Sinovac,EU,0
Novavax,Algeria,0
Novavax,Bosnia,0
Novavax,Croatia,0
Novavax,Cyprus,0
Novavax,Germany,0
Novavax,Macao,0
Novavax,Moldova,0
Novavax,Paraguay,0
Novavax,Qatar,0
Novavax,Russia,0
Novavax,Singapore,0
Novavax,Syria,0
Novavax,San Marino,0
Novavax,Belarus,0
Novavax,Mauritius,0
Novavax,Senegal,0
Novavax,Somalia,0
Novavax,Benin,0
Novavax,Maldives,0
Novavax,Bahrain,0
Novavax,Oman,0
Novavax,Armenia,0
Novavax,Jordan,0
Novavax,Kosovo,0
Novavax,North Macedonia,0
Novavax,Honduras,0
Novavax,Albania,0
Novavax,Botswana,0
Novavax,Slovakia,0
Novavax,Uzbekistan,0
Novavax,Palestine,0
Novavax,Zimbabwe,0
Novavax,Tunisia,0
Novavax,Kazakhstan,0
Novavax,Lebanon,0
Novavax,United Arab Emirates,0
Novavax,Cambodia,0
Novavax,Mongolia,0
Novavax,Uruguay,0
Novavax,Kuwait,0
Novavax,Panama,0
Novavax,Costa Rica,0
Novavax,Serbia,0
Novavax,Iraq,0
Novavax,Hungary,0
Novavax,Saudi Arabia,0
Novavax,El Salvador,0
Novavax,Azerbaijan,0
Novavax,Venezuela,0
Novavax,Hong Kong,0
Novavax,Ecuador,0
Novavax,Guatemala,0
Novavax,Dominican Republic,0
Novavax,Bolivia,0
Novavax,Nepal,0
Novavax,New Zealand,10700000
Novavax,Pakistan,0
Novavax,Switzerland,0
Novavax,South Africa,0
Novavax,Bangladesh,0
Novavax,Myanmar,0
Novavax,SriLanka,0
Novavax,Taiwan,0
Novavax,Israel,0
Novavax,Ukraine,15000000
Novavax,Colombia,0
Novavax,Peru,0
Novavax,Argentina,0
Novavax,Iran,0
Novavax,Malaysia,0
Novavax,Vietnam,0
Novavax,Thailand,0
Novavax,Chile,0
Novavax,Morocco,0
Novavax,Egypt,0
Novavax,Rest,196700000
Novavax,Latam (w/o Brazil),0
Novavax,Philippines,30000000
Novavax,Australia,51000000
Novavax,South Korea,40000000
Novavax,Mexico,0
Novavax,Turkey,0
Novavax,Indonesia,50000000
Novavax,African Union,0
Novavax,Japan,0
Novavax,Canada,52000000
Novavax,India,0
Novavax,China,0
Novavax,Brazil,0
Novavax,UK,60000000
Novavax,USA,110000000
Novavax,COVAX,900000000
Novavax,EU,0
Moderna,Algeria,0
Moderna,Bosnia,0
Moderna,Croatia,0
Moderna,Cyprus,0
Moderna,Germany,0
Moderna,Macao,0
Moderna,Moldova,0
Moderna,Paraguay,0
Moderna,Qatar,0
Moderna,Russia,0
Moderna,Singapore,0
Moderna,Syria,0
Moderna,San Marino,0
Moderna,Belarus,0
Moderna,Mauritius,0
Moderna,Senegal,0
Moderna,Somalia,0
Moderna,Benin,0
Moderna,Maldives,0
Moderna,Bahrain,0
Moderna,Oman,0
Moderna,Armenia,0
Moderna,Jordan,0
Moderna,Kosovo,0
Moderna,North Macedonia,0
Moderna,Honduras,0
Moderna,Albania,0
Moderna,Botswana,500000
Moderna,Slovakia,0
Moderna,Uzbekistan,0
Moderna,Palestine,0
Moderna,Zimbabwe,0
Moderna,Tunisia,0
Moderna,Kazakhstan,0
Moderna,Lebanon,0
Moderna,United Arab Emirates,0
Moderna,Cambodia,0
